zone_price,zone_amount,buy_id,buy_price,buy_unit,buy_fee_unit,buy_recive_unit,buy_open_time,buy_status,buy_close_time,sell_id,sell_price,sell_unit,sell_fee_amount,sell_recive_amount,sell_open_time,sell_status,sell_close_time
420.0,4.0,29474262522,304.171,0.01,6.65e-06,0.00999335,2021-02-21T14:27:16.187056+00:00,closed,2021-02-21T14:28:59.143Z,29474530991,428.4,0.01,0.00284886,4.28115114,2021-02-21T14:28:59.412898+00:00,open,
415.0198,4.0,29474265509,304.128,0.01,6.65e-06,0.00999335,2021-02-21T14:27:17.481028+00:00,closed,2021-02-21T14:29:00.581Z,29474534084,423.32,0.01,0.002815078,4.230384922,2021-02-21T14:29:01.157800+00:00,open,
410.0986,4.0,29474268290,303.703,0.01,6.65e-06,0.00999335,2021-02-21T14:27:18.795145+00:00,closed,2021-02-21T14:29:02.105Z,29474536701,418.301,0.01,0.00278170165,4.18022829835,2021-02-21T14:29:02.380476+00:00,open,
405.2358,4.0,29474274068,303.587,0.01,6.65e-06,0.00999335,2021-02-21T14:27:20.771123+00:00,closed,2021-02-21T14:29:03.178Z,29474538914,413.341,0.01,0.00274871765,4.13066128235,2021-02-21T14:29:03.436338+00:00,open,
400.4306,4.0,29474278583,303.397,0.01,6.65e-06,0.00999335,2021-02-21T14:27:22.258554+00:00,closed,2021-02-21T14:29:05.290Z,29474543200,408.439,0.01,0.00271611935,4.08167388065,2021-02-21T14:29:05.558834+00:00,open,
395.6824,4.0,29474283817,303.228,0.01,6.65e-06,0.00999335,2021-02-21T14:27:23.891243+00:00,closed,2021-02-21T14:29:06.367Z,29474545080,403.596,0.01,0.0026839134,4.0332760866,2021-02-21T14:29:06.637024+00:00,open,
390.9905,4.0,29474288969,303.065,0.01,6.65e-06,0.00999335,2021-02-21T14:27:25.491877+00:00,closed,2021-02-21T14:29:07.453Z,29474547037,398.81,0.01,0.0026520865,3.9854479135,2021-02-21T14:29:07.704344+00:00,open,
386.3543,4.0,29474294841,303.065,0.01,6.65e-06,0.00999335,2021-02-21T14:27:27.321066+00:00,closed,2021-02-21T14:29:08.518Z,29474548873,394.081,0.01,0.00262063865,3.938189361350001,2021-02-21T14:29:08.835764+00:00,open,
381.773,4.0,29474299252,303.062,0.01,6.65e-06,0.00999335,2021-02-21T14:27:28.686633+00:00,closed,2021-02-21T14:29:09.738Z,29474550894,389.408,0.01,0.0025895632,3.8914904368,2021-02-21T14:29:09.993334+00:00,open,
377.246,4.0,29474303819,302.64,0.01,6.65e-06,0.00999335,2021-02-21T14:27:30.283188+00:00,closed,2021-02-21T14:29:10.789Z,29474553752,384.791,0.01,0.00255886015,3.84535113985,2021-02-21T14:29:11.351015+00:00,open,
372.7728,4.0,29474307331,302.64,0.01,6.65e-06,0.00999335,2021-02-21T14:27:31.528678+00:00,closed,2021-02-21T14:29:12.276Z,29474556830,380.228,0.01,0.0025285162,3.7997514838,2021-02-21T14:29:12.828623+00:00,open,
368.3525,4.0,29474312406,302.971,0.01,6.65e-06,0.00999335,2021-02-21T14:27:33.285684+00:00,closed,2021-02-21T14:35:37.397Z,29475486913,375.72,0.01,0.002498538,3.754701462,2021-02-21T14:35:37.685617+00:00,open,
363.9847,4.0,29474321289,303.265,0.01,6.65e-06,0.00999335,2021-02-21T14:27:35.941975+00:00,closed,2021-02-21T14:29:14.527Z,29474560626,371.264,0.01,0.0024689056,3.7101710944000006,2021-02-21T14:29:14.787731+00:00,open,
359.6687,4.0,29474325633,303.265,0.01,6.65e-06,0.00999335,2021-02-21T14:27:37.494909+00:00,closed,2021-02-21T14:29:15.663Z,29474562955,366.862,0.01,0.0024396323,3.6661803677,2021-02-21T14:29:15.925366+00:00,open,
355.4038,4.0,29474329220,303.265,0.01,6.65e-06,0.00999335,2021-02-21T14:27:38.800279+00:00,closed,2021-02-21T14:29:16.919Z,29474565340,362.512,0.01,0.0024107048,3.6227092952,2021-02-21T14:29:17.179717+00:00,open,
351.1896,4.0,29474333441,303.796,0.01,6.65e-06,0.00999335,2021-02-21T14:27:40.214066+00:00,closed,2021-02-21T14:29:18.009Z,29474567656,358.213,0.01,0.00238211645,3.57974788355,2021-02-21T14:29:18.276018+00:00,open,
347.0253,4.0,29474338073,303.877,0.01,6.65e-06,0.00999335,2021-02-21T14:27:41.660459+00:00,closed,2021-02-21T14:29:19.066Z,29474569693,353.966,0.01,0.0023538739,3.5373061261,2021-02-21T14:29:19.349088+00:00,open,
342.9103,4.0,29474343172,303.275,0.01,6.65e-06,0.00999335,2021-02-21T14:27:43.222295+00:00,closed,2021-02-21T14:29:20.158Z,29474571735,349.769,0.01,0.00232596385,3.49536403615,2021-02-21T14:29:20.439799+00:00,open,
